project,file,function,start_line,end_line,nloc,cyclomatic,params
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readCppStyleComment,1351,1365,13,6,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readNumber,1367,1392,23,21,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readString,1393,1403,11,4,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readStringSingleQuote,1405,1415,11,4,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readObject,1417,1470,52,20,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readArray,1472,1509,35,12,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::decodeNumber,1511,1519,9,2,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::decodeNumber,1521,1599,49,13,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::decodeDouble,1601,1609,9,2,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::decodeDouble,1611,1625,15,5,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::decodeString,1627,1636,10,2,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::decodeString,1638,1689,52,15,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::decodeUnicodeCodePoint,1691,1714,22,8,4
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::decodeUnicodeEscapeSequence,1716,1740,25,9,4
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::addError,1742,1749,8,1,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::recoverFromError,1751,1762,12,5,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::addErrorAndRecover,1764,1768,5,1,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::currentValue,1770,1770,1,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::getNextChar,1772,1776,5,2,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::getLocationLineAndColumn,1778,1798,20,7,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::getLocationLineAndColumn,1800,1806,7,1,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::getFormattedErrorMessages,1808,1819,12,3,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::getStructuredErrors,1822,1832,11,2,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurCharReader::OurCharReader,1837,1839,3,1,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurCharReader::OurImpl::OurImpl,1844,1845,2,1,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurCharReader::OurImpl::parse,1847,1854,8,2,4
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurCharReader::OurImpl::getStructuredErrors,1857,1859,3,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::CharReaderBuilder::CharReaderBuilder,1867,1867,1,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::CharReaderBuilder::newCharReader,1869,1888,17,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::CharReaderBuilder::validate,1890,1915,26,5,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::CharReaderBuilder::operator [ ],1917,1919,3,1,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::CharReaderBuilder::strictMode,1921,1935,13,1,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::CharReaderBuilder::setDefaults,1937,1952,14,1,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::CharReaderBuilder::ecma404Mode,1954,1968,13,1,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::CharReader::getStructuredErrors,1971,1973,3,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::CharReader::parse,1975,1978,4,1,4
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::parseFromStream,1983,1993,10,1,4
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::operator > >,1995,2003,9,2,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,msvc_pre1900_c99_vsnprintf,27,35,9,3,4
Json CPP,jsoncpp/src/lib_json/json_value.cpp,msvc_pre1900_c99_snprintf,37,44,8,1,3
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::cloneUnique,56,62,7,2,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::nullSingleton,74,77,4,1,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::InRange,91,96,4,4,3
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::integerToDouble,98,101,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::integerToDouble,103,105,3,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::InRange,108,111,4,4,3
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::duplicateStringValue,121,135,12,3,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::duplicateAndPrefixStringValue,139,158,18,2,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::decodePrefixedString,159,168,10,2,4
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::releasePrefixedStringValue,173,180,8,1,1
